CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0067,"Aventri, Inc.","Aventri CTO Shane Edmonds explains the architecture driving their event management platform. The solutions covers pre-event marketing, event management and post-event analytics. This solution utilizes the Amazon Chime SDK, is completely serverless with AWS Lambda and deploys AWS Fargate for container management.",,,,,,,,https://youtu.be/pZ7Lr94noLo,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0068,AviontÃ©,AviontÃ© boosted availability to 99.999 percent by migrating Microsoft workloads to AWS so that it can innovate its solutions for a changing workforce.,,,,,,,,https://aws.amazon.com/solutions/case-studies/avionte-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0069,AWS,"Monitoring IoT devices in real-time can provide valuable insight that can help you maintain the reliability, availability, and performance of your IoT devices. You can track time series data on device connectivity and activity. This insight can help you react quickly to changing conditions and emerging situations.",,,,,,,,https://youtu.be/uWUAcc68MWI,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0070,AWS,"George Bearden from the AWS Solutions Builders team sheds light on common challenges of multi-region availability. In many cases, data redundancy can be achieved through built-in features such as Amazon S3's cross-region replication and versioning. However, services like Amazon Cognito require a bit more work. Learn what AWS has done to help you minimize your effort.",,,,,,,,https://youtu.be/tTQ36qQF_vA,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0071,AWS,"For organizations managing media, sharing files between different parties can be very expensive and not always reliable. In this episode we go under the covers of a solution from AWS that uses S3 and EventBridge to simplify the transfer of these often large assets. We dive into how the Key Management Service keeps everything secure and how to integrate it into a larger media exchange solution.",,,,,,,,https://youtu.be/Ly_UhX3LCCs,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0072,AWS Educate,Discover how AWS Educate empowers Veterans with skills to transition into cloud-based careers.,,,,,,,,https://aws.amazon.com/podcasts/27-fixthis/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0073,AWS leaders,Join Teresa Carlson for a chat with other AWS leaders. We dive into how technology helps public sector organizations deliver on their missions.,,,,,,,,https://aws.amazon.com/podcasts/13-mission-critical-cloud-a-chat-with-aws-leaders/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0074,AWS Subject Matter Expert and ASU CIC Intern,AWS Cloud Innovation Centers (CICs) facilitate experimentation and innovation in the public sector.,,,,,,,,https://aws.amazon.com/podcasts/ep33-accelerating-innovation/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0075,AWS Subject Matter Expert and Belle Fleur Technologies,"Explore the AWS Think Big for Small Business Program with Sandy Carter, vice president of worldwide public sector partners and programs and Tia Dubuisson, co-founder and president of Belle Fleur Technologies.",,,,,,,,https://aws.amazon.com/podcasts/42-fixthis/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0076,"AWS Subject Matter Expert, University of Oxford, and LlamaZOO","From digital transformation to virtual reality, hear how educational institutions are continuing to redefine and reimagine virtual learning.",,,,,,,,https://aws.amazon.com/podcasts/34fixthis/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0077,AWS Subject Matter Experts and Digital Earth Africa,Discover how AWS can help organizations advance their sustainability goals.,,,,,,,,https://aws.amazon.com/podcasts/fixthis-37-earthday/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0078,"AWS Subject Matter Experts, Amazon Conservation Team, Maxar Technologies, and LA County Department of Children and Family Services",Discover how organizations protect their communities' physical wellbeing with cloud-powered solutions.,,,,,,,,https://aws.amazon.com/podcasts/36-fix-this/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0079,AXS,"Singapore-based multi-channel payment solutions provider modernized its infrastructure on AWS, rolling out the innovative app and positioning itself for strategic growth across Southeast Asia.",,,,,,,,https://aws.amazon.com/solutions/case-studies/axs-singapore/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0080,AZ Groeninge & Blyott,"AZ Groeninge (AZG) is a large hospital in Belgium, recognized as a leading hospital driving innovative initiatives, such as being the first hospital in the Benelux region to establish a private 5G network on its campus, to improve delivery of healthcare services. As of March 2024, AZG has an inventory of 9,597 portable medical equipment assets, of which 80.67% are tagged with Blyott's Bluetooth Low Energy (BLE) tags. Complementing this, Blyottâ€™s sensor tags interact with existing signal locators within AZGâ€™s existing WiFi infrastructure across 1,651 locations across the hospital's 5 blocks, enabling comprehensive tracking and monitoring of these tagged assets. Using Blyott's IoT asset tracking solution, consisting of BLE hardware tags and their Remote Insights Platform and Mobile Client built on AWS, AZG is able to track, trace, and derive operational insights from their extensive equipment inventory, informing better operational planning and equipment repair workflows.",,,,,,,,https://aws.amazon.com/solutions/case-studies/az-groeninge-blyott/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0081,B2B Omnichannel Contact Center as a Service (CCaaS),"Telecom operators are seeking to resell omnichannel contact center solutions that use Amazon Connect to their enterprise customers. This solution, known as contact center as a service (CCaaS), opens AWS Marketplace as a resale channel and accelerates and simplifies the go-to-market process.",,,,,,,,"https://aws.amazon.com/solutions/telecom/b2b-omnichannel-ccaas/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0082,Bangkok Flight Services,"Bangkok Flight Services uses AWS Application Migration Service to successfully migrate cargo handling systems to AWSâ€”cutting IT infrastructure management time, boosting scalability, and creating a base for future innovation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/bangkok-flight-services/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0083,Bank Leumi,Bank Leumi in the financial industry protects its public websites using AWS services for network and application protection.,,,,,,,,https://aws.amazon.com/solutions/case-studies/bank-leumi-security-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0084,BBC (British Broadcasting Corporation),"BBC, a UK public service broadcaster, safely migrated its flagship archive to Amazon S3 Glacier Instant Retrieval.",,,,,,,,https://aws.amazon.com/solutions/case-studies/bbc-s3-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0085,Be Software,"Be Software cut costs 50 percent and more easily enters new geographic markets as a result of moving to AWS. Be Software provides simple, user-friendly SaaS applications for medical-case management and employment services.",,,,,,,,https://aws.amazon.com/solutions/case-studies/besoftware/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0086,BEA,"The Bank of East Asia, Limited (BEA) delivers a better mobile app experience on AWS, helping accelerate its omnichannel strategy to provide exceptional customer experiences.",,,,,,,,https://aws.amazon.com/solutions/case-studies/bea,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0087,"Beachbody, LLC","Dave from Openfit describes how ChatOps on AWS accelerates his team's continuous integration and continuous deployment (CI/CD) capabilities. Openfit's architecture leverages AWS CodePipeline and AWS CodeBuild for build automation, with the team coordinating in one Slack channel per service, with an AWS Lambda-powered chatbot providing build updates and production deployment approvals in real-time",,,,,,,,https://youtu.be/Kebb0LOVC28,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0088,BILL,Financial operations company BILL refactored its infrastructure and supported growth using Amazon ECS with AWS Fargate.,,,,,,,,https://aws.amazon.com/solutions/case-studies/bill-ecs-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0089,Bitlayer,"Bitlayer created the world's first BitVM-based Layer 2 solution for Bitcoin, processing over 150,000 transactions daily and supporting over 300 projects using Amazon EC2. Builds the First Layer 2 BitVM Platform for Seamless Bitcoin Transactions on AWS",,,,,,,,https://aws.amazon.com/solutions/case-studies/bitlayer/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0090,Blackboard,"Since 2016, Blackboard, an international leader in educational technology (EdTech), has closed 27 on-premises data centers while migrating to Amazon Web Services (AWS). In March of 2020, due to the COVID-19 pandemic, it saw a 3600 percent increase in multinational usage of its Blackboard Collaborate virtual classroom solution.",,,,,,,,https://aws.amazon.com/solutions/case-studies/blackboard-aws-summit-2021/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0091,Blackboard,"Education technology company Blackboard optimized its use of Amazon EC2 to manage costs while supporting a 4,800 percent increase in demand for its video conferencing service, Blackboard Collaborate.",,,,,,,,https://aws.amazon.com/solutions/case-studies/blackboard-ec2-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0092,Blackboard Inc.,"In this episode, learn how Blackboard, now part of Anthology, operates and governs its 120+ AWS accounts. You'll see how they use AWS Control Tower to build and govern a multi-account environment that follows best practices. Control Tower helps them leverage AWS Service Catalog to vend accounts into their AWS Organization, AWS Config to control and detect changes to AWS resources, AWS CloudTrail for centralized logging, and AWS Single Sign-on (SSO) for federated login and integration with their 3rd-party identity provider, Okta.",,,,,,,,https://youtu.be/jzKCg9Z5_8Q,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0093,Blexr,"Lead generation company Blexr uses AWS services to become more agile and scalable and deliver better customer experiences faster at half the compute cost. The company connects customers with offers from online gaming brands. Its previous architecture was complex and monolithic, slowing innovation. Blexr containerized its infrastructure on AWS and took advantage of scalable AWS services to improve agility, increase conversion rates by 30 percent, and accelerate new market launches from 9 months to 3 weeks. Now, itâ€™s positioned to continue delivering a great customer experience as it expands globally.",,,,,,,,https://aws.amazon.com/solutions/case-studies/blexr?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
